S/N,City,WO,Month,Site Name,ODF First Cable,ODF Common cable,Refilling Cable ,IBD Cable,DUCTING WITH CABLE PULLING,8F FAT,16F FAT,FMS 48F -16F FAT,FDMS 48F,Extra Splicing,25mm Flexible,Angle,6 MTR Pole/ 8 mtr pole,DOC<150,DOC>150,UG,Arise,,,,
1,RAIPUR,,Mar-25,RWW ODF_01&02,2063,,,,,,,,,,,3,1,,,,51339,,,,
2,RAIPUR,,Mar-25,3MN17 - Bajaj Sky,,,270,377,,14,,1,,67,4,,,1,,20,14495,,,,
3,RAIPUR,,Mar-25,RAV300112,,,155,,,1,,,,14,1,1,,,,,4025,,,,
4,RAIPUR,,Mar-25,RBB CUTOVER,,,1273,,,,,1,1,48,,1,1,,,,25816,,,,
5,DURG,,Mar-25,RNN07,,,1144,,,4,,1,,24,5,1,,,,,21748,,,,
6,DURG,,Mar-25,RNN10,,,411,,,3,,1,,21,4,,,,,,8926,,,,
7,DURG,,Mar-25,RNN11,,,189,,,1,,,,6,1,2,,,,,4871,,,,
8,DURG,,Mar-25,RPD09,,,1164,,,6,,1,,42,7,1,2,,,,27488,,,,
9,DURG,,Mar-25,RPD11,,,433,,,3,,1,,24,4,,1,,,,11401,,,,
10,DURG,,Apr-25,2TC04 05,3620,180,,,,,,,,,,10,2,,,,95360,,,,
11,DURG,,Apr-25,RPD04 2FAT,,,424,,,2,,,,12,2,,,,,,7958,,,,
12,DURG,,Apr-25,3II05 1FAT,,,210,,,1,,,,6,1,,,,,,3947,,,,
13,DURG,,Apr-25,2TW01 3FAT,,,744,,,3,,1,,21,4,,,,,,14254,,,,
14,DURG,,Apr-25,2FN03,,,180,,,1,,,,6,1,,,,,,3467,,,,
15,DURG,,Apr-25,2II06,,,160,,,1,,,,6,1,,,,,,3147,,,,
16,DURG,,Apr-25,2TW10 3FAT,,,528,,,3,,1,,21,4,,,,,,10798,,,,
17,RAIPUR,,Apr-25,RCC26 1FAT,,,118,,,1,,,,6,1,,,,,,2475,,,,
18,DURG,,May-25,RY6 (7 ODF),14249,962,,,,,,,,,,13,12,,,,369537,,,,
19,DURG,,May-25,2II04,,,661,,,4,,,,24,4,1,,,,,13554,,,,
20,DURG,,May-25,2TW02,,,498,,,3,,,,21,3,,,,,,9852,,,,
21,DURG,,May-25,RNR08,,,480,,,3,,,,21,4,1,,,,,10235,,,,
22,DURG,,May-25,2TW10,,,528,,,3,,1,,21,4,,,,,,10798,,,,
23,RAIPUR,,May-25,HIGH PARK 3 ODF,,,1400,552,366,28,,4,2,369,120,3,1,,1,,67009,,,,
24,RAIPUR,,May-25,3RA SHIFTING,,,1635,,,,,,2,192,120,3,,1,,,41692,,,,
25,DURG,,Jun-25,RCQ01 TO 06,14638,560,,,,,,,,,,27,4,,,,367284,,,,
26,DURG,,Jun-25,2TW100701 02 03,,,346,,,3,,,,21,3,,,,,,7420,,,,
27,DURG,,Jun-25,RCB130409 10,,,390,,,2,,,,12,2,,,,,,7414,,,,
28,DURG,,Jun-25,2II060601 05,,,930,,,5,,,,51,5,,,,,,18676,,,,
