id,City,Month,Site Name,Work Type,Quantity,Total Site Bill
1,RAIPUR,Mar-25,RWW ODF_01&02,ODF First Cable,2063,51339
2,RAIPUR,Mar-25,RWW ODF_01&02,Angle,3,51339
3,RAIPUR,Mar-25,RWW ODF_01&02,6 MTR Pole/ 8 mtr pole,1,51339
4,RAIPUR,Mar-25,3MN17 - Bajaj Sky,Refilling Cable ,270,14495
5,RAIPUR,Mar-25,3MN17 - Bajaj Sky,IBD Cable,377,14495
6,RAIPUR,Mar-25,3MN17 - Bajaj Sky,8F FAT,14,14495
7,RAIPUR,Mar-25,3MN17 - Bajaj Sky,FMS 48F -16F FAT,1,14495
8,RAIPUR,Mar-25,3MN17 - Bajaj Sky,Extra Splicing,67,14495
9,RAIPUR,Mar-25,3MN17 - Bajaj Sky,25mm Flexible,4,14495
10,RAIPUR,Mar-25,3MN17 - Bajaj Sky,DOC<150,1,14495
11,RAIPUR,Mar-25,3MN17 - Bajaj Sky,UG,20,14495
12,RAIPUR,Mar-25,RAV300112,Refilling Cable ,155,4025
13,RAIPUR,Mar-25,RAV300112,8F FAT,1,4025
14,RAIPUR,Mar-25,RAV300112,Extra Splicing,14,4025
15,RAIPUR,Mar-25,RAV300112,25mm Flexible,1,4025
16,RAIPUR,Mar-25,RAV300112,Angle,1,4025
17,RAIPUR,Mar-25,RBB CUTOVER,Refilling Cable ,1273,25816
18,RAIPUR,Mar-25,RBB CUTOVER,FMS 48F -16F FAT,1,25816
19,RAIPUR,Mar-25,RBB CUTOVER,FDMS 48F,1,25816
20,RAIPUR,Mar-25,RBB CUTOVER,Extra Splicing,48,25816
21,RAIPUR,Mar-25,RBB CUTOVER,Angle,1,25816
22,RAIPUR,Mar-25,RBB CUTOVER,6 MTR Pole/ 8 mtr pole,1,25816
23,DURG,Mar-25,RNN07,Refilling Cable ,1144,21748
24,DURG,Mar-25,RNN07,8F FAT,4,21748
25,DURG,Mar-25,RNN07,FMS 48F -16F FAT,1,21748
26,DURG,Mar-25,RNN07,Extra Splicing,24,21748
27,DURG,Mar-25,RNN07,25mm Flexible,5,21748
28,DURG,Mar-25,RNN07,Angle,1,21748
29,DURG,Mar-25,RNN10,Refilling Cable ,411,8926
30,DURG,Mar-25,RNN10,8F FAT,3,8926
